dataset,d,n_min,ir,nhop_nopca,agtp_nopca,jsd_nopca,z_nopca,f1_nopca,auc_nopca,nhop_pca,agtp_pca,jsd_pca,z_pca,f1_pca,auc_pca
ecoli1,7,77,3.4,0.7781466653647104,0.5755787355788943,0.06325983281107439,0.20749583002399655,0.7870504263997035,0.9486189668174962,0.780587833219412,0.5236893432215375,0.06673478230109553,0.3227523280338929,0.6994065194065194,0.9365153657616894
ecoli2,7,54,5.5,0.746031746031746,0.810887528782696,0.08448745285730386,0.25495269878199217,0.712822966507177,0.8488459785828206,0.7592592592592593,0.5919426929695488,0.08916995343654202,0.356485794967579,0.6872727272727273,0.8478201184780133
ecoli3,7,36,8.6,0.7182539682539683,0.7844556268942942,0.10021377203640405,0.3287450383682722,0.8305827505827507,0.9658035714285713,0.7916666666666665,0.5300453701593956,0.07647257523993131,0.6387385157292945,0.7262848262848263,0.9714583333333333
glass1,9,76,1.8,0.8128654970760234,0.7826052720174619,0.05095663266229741,0.36795822638365194,0.799089551428261,0.9198015873015872,0.8026315789473686,0.5841709436590137,0.05704531631371324,0.5432692562252015,0.8046706805327496,0.9077799823633157
glass4,9,12,15.5,0.6203703703703702,0.5281047827907965,0.1610760429910717,0.1670561061957495,0.5771428571428572,0.9583333333333334,0.5833333333333333,0.3404385070161401,0.179801295214775,0.056140608281963954,0.49333333333333335,0.9700609756097561
yeast1,8,427,2.5,0.9183090345350794,0.8983088599025236,0.009795262145826562,0.33618579914627206,0.8950810332193704,0.9793585057346545,0.9105727259733263,0.6146334264478905,0.00781215576347972,0.6367422209999888,0.8867179531917408,0.9778965458735062
yeast3,8,175,8.1,0.8739901477832512,0.8531707667283825,0.0236262427600027,0.3402804685192068,0.6514860799870793,0.9090756548298007,0.8758620689655173,0.5894986917973083,0.02534308018532047,0.6270627427686106,0.662640843729773,0.9131605643924676
new-thyroid1,5,36,5.1,0.7555555555555555,0.7566946443244448,0.09191666000942347,0.37437058283270036,0.827155067155067,0.9572222222222223,0.7638888888888887,0.5497358042467149,0.09006640807306021,0.5351940936638571,0.8431651681651682,0.9429365079365081
haberman,3,79,2.8,0.841826246889538,0.7665309138526393,0.043160187239608044,0.47194583695695747,0.96930596285435,0.9808333333333333,0.8055826030509574,0.5817395268528239,0.06134293265548617,0.5635280274896063,0.9684700171908182,0.9784601449275362
vehicle0,18,198,3.3,0.8661616161616161,0.8588974031107217,0.024498700134351938,0.23465444710697098,0.8179024262357595,0.9598367276730425,0.8712121212121212,0.6052243828570355,0.019687566902164173,0.5728877794855434,0.7702034268698293,0.9539090064675932
pima,8,267,1.9,0.9058777561882235,0.8622847031117202,0.012919777878722411,0.36356212215430667,0.9250808974702778,0.9783901965668264,0.8997352932894034,0.5974686677223915,0.018064474896665322,0.6691522889766186,0.9162901249693703,0.9782890037431416
wisconsin,9,244,1.9,0.8797814207650273,0.7629143858735681,0.01751328492161062,0.27146003501133453,0.8796109508049097,0.9625999850489645,0.8831967213114753,0.6275627779532098,0.01775619532010019,0.6444307320276244,0.8071121808555783,0.9430515063168124
heart,13,137,1.2,0.8496878818905438,0.8136865716481281,0.02937898721510447,0.24741492314037508,0.8859092579052857,0.9630806194531685,0.8637290682696437,0.6462344130108406,0.02693013780556427,0.5734320448929492,0.9047991955994558,0.963984145846891
ionosphere,34,124,1.8,0.831593927893738,0.8267362174042947,0.039101146881810135,0.1766256699088926,0.7800687407830266,0.9316084541062801,0.8749999999999999,0.5375948046450012,0.02561134420648159,0.5743779849614821,0.7145149424219192,0.9212922705314011
